"Ref_lead_author","Ref_publication_date","Ref_title","Ref_html_link","Ref_DOI_number","Application","Application_specific","Mode","Tribopositive","Tribonegative","Electrode","Open_circuit_voltage","Short_circuit_current","Power_density","Current_density","Charge_density","Thickness","Area","Operating_frequency"
"Daewon Kim","2016/09/15","3D Carbon Electrode Based Triboelectric Nanogenerator","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.201600160","10.1002/admt.201600160","energy harvester","use of energy from motion","","","","carbon","77.7 V","27.2 μA","","","","","","10 Hz"
"Paresh Vasandani","2017/04/24","Triboelectric Nanogenerator Using Microdome-Patterned PDMS as a Wearable Respiratory Energy Harvester","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.201700014","10.1002/admt.201700014","energy harvester","use of energy from motion","contact-separation","ABS","PDMS","copper","16.8 V","","7.584 mW m−2","","33.5 µC m−2","","375 mm2","1.67 Hz"
"Bao Dong Chen","2017/11/20","Ultrafine Capillary-Tube Triboelectric Nanogenerator as Active Sensor for Microliquid Biological and Chemical Sensing","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.201700229","10.1002/admt.201700229","sensor","","","aluminum","","aluminum","10 V","130 nA","","","","","",""
"Chuan He","2018/02/08","Radial-Grating Pendulum-Structured Triboelectric Nanogenerator for Energy Harvesting and Tilting-Angle Sensing","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.201700251","10.1002/admt.201700251","energy harvester","use of energy from motion","","","","copper","19.9 V","12.83 µA","35.2 mW m−2","","","electrode 80 µm ","","1.5 Hz"
"Yaoxing Bian","2018/01/10","Triboelectric Nanogenerator Tree for Harvesting Wind Energy and Illuminating in Subway Tunnel","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.201700317","10.1002/admt.201700317","energy harvester","use of energy from wind","","","polyvinyl chloride","copper","260 V","37 µA","","","","","",""
"Yingying Yin","2018/02/19","Stretchable and Tailorable Triboelectric Nanogenerator Constructed by Nanofibrous Membrane for Energy Harvesting and Self-Powered Biomechanical Monitoring","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.201700370","10.1002/admt.201700370","energy harvester","use of energy from motion","","","","Ag","150 V","4 µA","10.56 µW cm−2","","","","",""
"Cunxin Lu","2018/04/26","A Stretchable, Flexible Triboelectric Nanogenerator for Self-Powered Real-Time Motion Monitoring","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.201800021","10.1002/admt.201800021","sensor","tactile/motion sensor","single-electrode","nylon","","aluminum","2.01 V","","","","","","","1 Hz"
"Tong Guo","2018/07/05","Self-Powered Hall Vehicle Sensors Based on Triboelectric Nanogenerators","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.201800140","10.1002/admt.201800140","sensor","tactile/motion sensor","freestanding","","","copper","140 V","","","","","","","13 Hz"
"Zhiwei Lin","2018/07/30","Flexible Timbo-Like Triboelectric Nanogenerator as Self-Powered Force and Bend Sensor for Wireless and Distributed Landslide Monitoring","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.201800144","10.1002/admt.201800144","sensor","","","","","carbon","2058 V","154 µA","","","","","","10 Hz"
"Daehwan Choi","2018/08/24","A Self-Powered Smart Roller-Bearing Based on a Triboelectric Nanogenerator for Measurement of Rotation Movement","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.201800219","10.1002/admt.201800219","sensor","tactile/motion sensor","contact-separation","","","aluminum","45 V","6 µA","","","","","",""
"Huake Yang","2018/11/12","Triboelectric and Electromagnetic Hybrid Nanogenerator Based on a Crankshaft Piston System as a Multifunctional Energy Harvesting Device","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.201800278","10.1002/admt.201800278","energy harvester","use of energy from water/fluid","contact-separation","","PDMS","aluminum","45 V","6.5 µA","0.08 mW cm−2","3.4 µA cm−2","8.2 nC cm−2","","1 cm2",""
"Jinhui Nie","2018/09/09","Long Distance Transport of Microdroplets and Precise Microfluidic Patterning Based on Triboelectric Nanogenerator","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.201800300","10.1002/admt.201800300","","","freestanding","quartz","fluorinated ethylene propylene","copper","","","100 mW cm−2","","","tribonegative layer 60 nm ","",""
"Rui Lei","2018/12/05","Butterfly-Inspired Triboelectric Nanogenerators with Spring-Assisted Linkage Structure for Water Wave Energy Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.201800514","10.1002/admt.201800514","energy harvester","use of energy from water/fluid","","","","copper","617.1 V","58.297 µA","9.559 W m−3","","","","","1 Hz"
"Xue Zhao","2019/02/20","Polyimide/Graphene Nanocomposite Foam-Based Wind-Driven Triboelectric Nanogenerator for Self-Powered Pressure Sensor","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.201800723","10.1002/admt.201800723","sensor","tactile/motion sensor","","nylon","","copper","130 V","7.8 µA","","","","tribopositive layer 50 um ","",""
"Yuliang Chen","2019/04/01","An Elastic Triboelectric Nanogenerator for Harvesting Random Mechanical Energy with Multiple Working Modes","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.201900075","10.1002/admt.201900075","energy harvester","use of energy from motion","contact-separation","nylon","polytetrafluoroethylene","copper","","","","","","","",""
"Xia Liu","2019/09/26","Highly Integrated Triboelectric Nanogenerator for Efficiently Harvesting Raindrop Energy","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.201900608","10.1002/admt.201900608","energy harvester","use of energy from water/fluid","contact-separation","","polytetrafluoroethylene","copper","42.2 V","95.4 µA","","","","","",""
"Yiming Zhong","2019/11/07","An Easily Assembled Electromagnetic-Triboelectric Hybrid Nanogenerator Driven by Magnetic Coupling for Fluid Energy Harvesting and Self-Powered Flow Monitoring in a Smart Home/City","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.201900741","10.1002/admt.201900741","energy harvester","use of energy from water/fluid","freestanding","","fluorinated ethylene propylene","copper","144 V","8.3 µA","","","","","",""
"Wei Yang","2019/10/15","Triboelectric Power Generation from Heterostructured Air-Laid Paper for Breathable and Wearable Self-Charging Power System","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.201900745","10.1002/admt.201900745","energy harvester","use of energy from water/fluid","","","","CNT","7.5 V","3.7 µA","","10 µA cm−2","","","20×20 mm2",""
"Fan Wang","2019/11/15","Self-Powered Sensor Based on Bionic Antennae Arrays and Triboelectric Nanogenerator for Identifying Noncontact Motions","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.201900789","10.1002/admt.201900789","sensor","tactile/motion sensor","single-electrode","polyamide","","Ag","14 V","20 nA","","","","","",""
"Zhen Qin","2019/12/18","Flexible Janus Electrospun Nanofiber Films for Wearable Triboelectric Nanogenerator","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.201900859","10.1002/admt.201900859","energy harvester","use of energy from motion","contact-separation","","PVDF","aluminum","140 V","3.8 µA","","","","","2×2 cm2","2 Hz"
"Yuanchao Lu","2019/12/16","A Flexible, Recyclable, and High-Performance Pullulan-Based Triboelectric Nanogenerator (TENG)","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.201900905","10.1002/admt.201900905","sensor","tactile/motion sensor","","cellulose","Kapton","","79 V","","41.7 mW m−2","","","","","10 Hz"
"Jing Yang","2020/01/17","1D Triboelectric Nanogenerator Operating by Repeatedly Stretching and as a Self-Powered Electronic Fence and Geological Monitor","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.201901005","10.1002/admt.201901005","sensor","tactile/motion sensor","single-electrode","","","copper","7 V","8.5 nA","","","","","",""
"Chuguo Zhang","2020/07/30","Bionic-Fin-Structured Triboelectric Nanogenerators for Undersea Energy Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202000531","10.1002/admt.202000531","energy harvester","use of energy from water/fluid","","","Kapton","copper","1200 V","265 µA","444 W m−3","28.6 mA m−2","200 µC m−2","","112 cm2","3 Hz"
"Jie Ren","2021/07/01","Arc-Shaped Triboelectric Nanogenerator Based on Rolling Structure for Harvesting Low-Frequency Water Wave Energy","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202100359","10.1002/admt.202100359","energy harvester","use of energy from water/fluid","freestanding","","polyvinyl chloride","aluminum","","","5.47 W m−3","","","","","1.2 Hz"
"Pinjing Lu","2021/07/08","Swing-Structured Triboelectric–Electromagnetic Hybridized Nanogenerator for Breeze Wind Energy Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202100496","10.1002/admt.202100496","energy harvester","use of energy from wind","contact-separation","","","copper","129 V","2.0 mA","","","","","",""
"Yun Yang","2021/09/04","Flexible and Extendable Honeycomb-Shaped Triboelectric Nanogenerator for Effective Human Motion Energy Harvesting and Biomechanical Sensing","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202100702","10.1002/admt.202100702","energy harvester","use of energy from motion","","aluminum","silicone rubber","","1500 V","183 µA","10.79 W m−2","","","","","50.5 Hz"
"Lulu Zu","2021/09/21","A Self-Powered Early Warning Glove with Integrated Elastic-Arched Triboelectric Nanogenerator and Flexible Printed Circuit for Real-Time Safety Protection","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202100787","10.1002/admt.202100787","sensor","tactile/motion sensor","contact-separation","","","copper","26 V","1.25 µA","","","5.75 μC m−2","","40×50 mm2",""
"Shiyu Hu","2021/10/22","A Stretchable Multimode Triboelectric Nanogenerator for Energy Harvesting and Self-Powered Sensing","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202100870","10.1002/admt.202100870","energy harvester","use of energy from motion","","","PDMS","","75 V","3.2 µA","23 mW m−2","3.05 mA m−2","21 µC m−2","","","2.5 Hz"
"Wei Yuan","2021/11/26","Wearable, Breathable and Waterproof Triboelectric Nanogenerators for Harvesting Human Motion and Raindrop Energy","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202101139","10.1002/admt.202101139","energy harvester","use of energy from water/fluid","contact-separation","","","copper","11.80 V","781.81 nA","","","","","",""
"Taili Du","2022/06/28","A Drill Pipe-Embedded Vibration Energy Harvester and Self-Powered Sensor Based on Annular Type Triboelectric Nanogenerator for Measurement while Drilling System","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202200003","10.1002/admt.202200003","energy harvester","use of energy from motion","","","silicone rubber","copper","334.75 V","","63.7 W m−3","","","","","4 Hz"
"Xiaoyu Zhu","2022/03/29","Windmill-Like Nanogenerator for Harvesting Low-Speed Wind Energy and Wind Speed Measuring","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202200006","10.1002/admt.202200006","energy harvester","use of energy from wind","freestanding","","fluorinated ethylene propylene","","250 V","450 nA","","","","electrode 0.3 mm ","2.5 cm × 3.5 cm",""
"Shiyu Hu","2022/05/30","A Low-Cost Simple Sliding Triboelectric Nanogenerator for Harvesting Energy from Human Activities","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202200186","10.1002/admt.202200186","energy harvester","use of energy from water/fluid","lateral sliding","","Kapton","copper","1881 V","19 µA","0.5 W m−2","","70 µC m−2","","",""
"Chunchun Yang","2022/07/30","Harvesting Wide Frequency Micromechanical Vibration Energy and Wind Energy with a Multi-Mode Triboelectric Nanogenerator for Traffic Monitoring and Warning","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202200465","10.1002/admt.202200465","energy harvester","use of energy from wind","","cotton","polytetrafluoroethylene","copper","760 V","32.47 µA","","","15.621 µC m−2","","124.6969 cm2","12 Hz"
"Chi Zhang","2022/12/04","Customizing Triboelectric Nanogenerator on Everyday Clothes by Screen-Printing Technology for Biomechanical Energy Harvesting and Human-Interactive Applications","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202201138","10.1002/admt.202201138","energy harvester","use of energy from motion","","nylon","","Ag","68 V","0.87 µA","3.2 mW m−2","","","","18.6 cm2","5 Hz"
"Rongmei Wen","2023/01/29","Controlling the Output Performance of Triboelectric Nanogenerator Through Filling Isostructural Metal–Organic Frameworks With Varying Functional Groups","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202201330","10.1002/admt.202201330","","","contact-separation","","PDMS","copper","191 V","7.1 µA","","","","","",""
"Jianping Li","2022/12/07","A Bow-Drill Structured Triboelectric Nanogenerator for Marine Ranching Monitoring","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202201471","10.1002/admt.202201471","energy harvester","use of energy from water/fluid","freestanding","","FEP","copper","55.7 V","","","","","","","0.8 Hz"
"Jinsui Xu","2023/06/25","A Flexible Multifunctional Sensor Based on Triboelectric Nanogenerator for Measuring Variable Stiffness of Soft Grippers and Recognizing Item Size","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202201740","10.1002/admt.202201740","sensor","tactile/motion sensor","","aluminum","","aluminum","4.97 V","","","","","","","0.67 Hz"
"Changzheng Li","2023/03/15","Liquid–Solid Triboelectric Nanogenerator for Bubble Energy Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202201791","10.1002/admt.202201791","energy harvester","use of energy from water/fluid","lateral sliding","","polytetrafluoroethylene","aluminum","150 V","","","","","","",""
"Karthikeyan Munirathinam","2023/03/21","Liquid-Metal-Based Stretchable Triboelectric Nanogenerators for Flowing-Liquid-Based Energy Harvesting and Self-Powered Sensor Applications","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202201902","10.1002/admt.202201902","energy harvester","use of energy from water/fluid","","","PDMS","copper","6.2 V","3.6 µA","0.32 W m−2","","","tribonegative layer 200 µm ","",""
"Xiaole Cao","2023/05/23","High Performance Rotary-Structured Triboelectric-Electromagnetic Hybrid Nanogenerator for Ocean Wind Energy Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202300327","10.1002/admt.202300327","energy harvester","use of energy from wind","freestanding","aluminum","","carbon","6.872 V","18.64 mA","","","","tribonegative layer 50 µm ","",""
"Mengrou Wang","2023/08/30","Spray-Coated Inorganic Lead-Free Double Perovskite Cs2AgBiBr6 Based Large-Scale Triboelectric Nanogenerator for Enhanced Energy Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202300703","10.1002/admt.202300703","energy harvester","use of energy from motion","contact-separation","nylon","FEP","ITO","191 V","3.16 uA","","8.72 mA m−2","","","2 cm × 2 cm","10 Hz"
"Minmin Wang","2023/10/15","2D Bismuthine/PDMS Composite Membrane as a Potential Electrode Material for High-Output Triboelectric Nanogenerators","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202300818","10.1002/admt.202300818","sensor","tactile/motion sensor","","","PDMS","Ag","100 V","22 µA","3.52 W m−2","","","","","10 Hz"
"Jihye Kim","2024/01/24","Triboelectric Nanogenerators for Battery-Free Wireless Sensor System Using Multi-Degree of Freedom Vibration","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202301427","10.1002/admt.202301427","sensor","","contact-separation","","","aluminum","","1 µA","","","","","","36.87 Hz"
"Qingyun Ying","2024/01/12","Multi-Track Triboelectric Nanogenerator Toward Omnidirectional Ocean Wave Energy Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202301824","10.1002/admt.202301824","energy harvester","use of energy from motion","freestanding","","PDMS","copper","","","","","","","","1 Hz"
"Ponnan Sathiyanathan","2023/12/21","Nitrogen and Sulfur Rich Covalent Organic Framework-Chitosan Triboelectric Nanogenerator for Disposable Urination Evaluation Tool","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202301883","10.1002/admt.202301883","sensor","","contact-separation","","FEP","","129 V","","","","","","","5 Hz"
"Yalong He","2024/03/19","Rotation-To-Translation Enabled Robust Triboelectric Nanogenerator for Wind Harvesting and Sensing","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202302061","10.1002/admt.202302061","energy harvester","use of energy from wind","contact-separation","","FEP","Al","","","","","","","","21.33 Hz"
"Xinyao Zhang","2024/08/08","Solid–Liquid Elastic Pendulum Triboelectric Nanogenerator Design for Application to Omnidirectional Blue Energy Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202400531","10.1002/admt.202400531","energy harvester","use of energy from water/fluid","","","polytetrafluoroethylene","","472.2 V","16.9 µA","","","","","","1.5 Hz"
"Tao Zhang","2024/08/14","Nanopores-templated CNT/PDMS Microcolumn Substrate for the Fabrication of Wearable Triboelectric Nanogenerator Sensors to Monitor Human Pulse and Blood Pressure","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202400749","10.1002/admt.202400749","sensor","tactile/motion sensor","contact-separation","","fluorinated ethylene propylene","CNT","","","","","","","","1 Hz"
"Chao Sun","2024/10/12","A Kelp Inspired High-Power Density Triboelectric Nanogenerator with Stacking Structure for Multiple Directional Ocean Wave Energy Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202401183","10.1002/admt.202401183","energy harvester","use of energy from water/fluid","single-electrode","","","Cu","","","18.77 W m−3","","","electrode 100 mm ","","4.5 Hz"
"Da Huo","2025/01/17","Gravity-Switch-Triggered Triboelectric Nanogenerator for Multi-Directional Wave Energy Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202401796","10.1002/admt.202401796","energy harvester","use of energy from motion","","nylon","","copper","196 V","22.2 µA","5.29 W m−3","","","electrode 0.05 mm ","","1.4 Hz"
"Harris Varghese","2025/04/16","Stretchable Thermoplastic Elastomer Based Triboelectric Nanogenerator for Wind Energy Harvesting and Self-Powered Gesture Sensing","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202500151","10.1002/admt.202500151","energy harvester","use of energy from wind","contact-separation","","PDMS","copper","","","0.228 W m−2","","","","40 cm2",""
"Song Wang","2025/05/20","Self-Powered In Situ Sensing for Planetary Gearbox via Floating Freestanding-Layer Mode Triboelectric Nanogenerator","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202500303","10.1002/admt.202500303","sensor","tactile/motion sensor","freestanding","","","","20 V","70 nA","","","","","","3125 Hz"
"Puneet Sagar","2025/08/12","Biomass Waste-Derived Hierarchically Porous Carbon-Reinforced ZnS/PDMS-Based Flexible Hybrid Piezo-Triboelectric Nanogenerator for Energy Scavenging and Sensing","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202500924","10.1002/admt.202500924","sensor","tactile/motion sensor","","","PDMS","Al","200 V","","","","","","","4 Hz"
"Deviprasad Sahoo","2025/09/11","Enhancing Triboelectric Performance Through 2D Nanofillers (MXene, hBN, rGO) in PVDF Nanofiber for Self-Powered Sensing","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202501141","10.1002/admt.202501141","sensor","","contact-separation","","PVDF","","120 V","","","10 nA cm−2","14.82 nC cm−2","","","100 Hz"
"Han Guo","2025/08/21","A Tumbler-Inspired Multilayer-Structured Triboelectric Nanogenerator for Wave Energy Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202501185","10.1002/admt.202501185","energy harvester","use of energy from motion","","","FEP","copper","456 V","35.8 µA","","","","","",""
"Jahidul Hasan","2025/08/28","Transforming Bio-Waste Into Low-Cost Green Triboelectric Nanogenerator for Biomechanical Energy Harvesting and Self-Powered Sensors","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202501299","10.1002/admt.202501299","energy harvester","use of energy from motion","single-electrode","human skin","PDMS","","312 V","95 µA","8.21 W m−2","","","","","4 Hz"
"Mohammad Mahdi Manouchehrian","2025/10/25","A Novel Triboelectric Nanogenerator Based on PVA/CaCl2/GO Nanocomposite Ionic Hydrogel for Monitoring Body Movements and Human-Machine Interaction","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202501533","10.1002/admt.202501533","","","","human skin","Kapton","","180 V","","2.1 W/m2","","","electrode 150 µm ","","2 Hz"
"Xie Xie","2025/12/03","Multi-Strategy Synergy Towards a High-Performance Piezo-Triboelectric Nanogenerator for Low-Frequency Vibration Energy Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/admt.202501854","10.1002/admt.202501854","energy harvester","use of energy from motion","","","polydimethylsiloxane","","","14 µA","23.65 W/m2","","","","","30 Hz"
"Guo Xu Liu","2018/08/15","Soft Tubular Triboelectric Nanogenerator for Biomechanical Energy Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/adsu.201800081","10.1002/adsu.201800081","energy harvester","use of energy from motion","","","","copper","200.2 V","","112.5 mW m−2","39.3 mA m−2","176.7 µC m−2","","","1 Hz"
"Mahesh Y. Chougale","2021/08/20","Novel Recycled Triboelectric Nanogenerator Based on Polymer-Coated Trash Soda Can for Clean Energy Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/adsu.202100161","10.1002/adsu.202100161","energy harvester","use of energy from motion","","aluminum","","","519 V","82 µA","","","","","","10 Hz"
"Shishuo Wu","2023/07/04","UFO-Shaped Integrated Triboelectric Nanogenerator for Water Wave Energy Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/adsu.202300135","10.1002/adsu.202300135","energy harvester","use of energy from water/fluid","","","polytetrafluoroethylene","silver","110 V","2.07 µA","","","","","25 cm2","1.0 Hz"
"Chaohai Li","2023/12/04","A Wrinkle-Enhanced Porous Poly(lactic Acid) Electret-based Nanogenerator for Self-powered Wireless Temperature Measurement Systems","https://onlinelibrary.wiley.com/doi/full/10.1002/adsu.202300452","10.1002/adsu.202300452","sensor","","","","silicone rubber","Au","184 V","27.7 µA","","","","tribonegative layer 10 µm ","","13.8 Hz"
"Zhijie Hao","2024/03/22","Self-Powered Vibration Frequency Monitoring Device for the Grid Based on Triboelectric Nanogenerator and Micro Thermoelectric Generator","https://onlinelibrary.wiley.com/doi/full/10.1002/adsu.202300561","10.1002/adsu.202300561","sensor","tactile/motion sensor","","POM","","","20.1 V","5.7 µA","","","","","","1.5 Hz"
"Songying Li","2024/07/11","Highly Sensitive Hybrid Triboelectric Nanogenerator with Ferris-Wheel-Like Structure for Ocean Wave Energy Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/adsu.202400310","10.1002/adsu.202400310","energy harvester","use of energy from water/fluid","","fur","","stainless steel","1000 V","320 µA","","","","electrode 0.05 mm ","","0.1 Hz"
"Amrutha Bindhu","2024/12/20","Enhanced Charge Holding Capacity of PVDF Nanofiber Using NiO-CuO Nanoparticles-Based Triboelectric Nanogenerator for Energy and Wearable Electronic Applications","https://onlinelibrary.wiley.com/doi/full/10.1002/adsu.202400604","10.1002/adsu.202400604","sensor","tactile/motion sensor","","","PVDF","aluminum","57 V","1.6 µA","","","","","","6 Hz"
"Changxin Liu","2025/04/08","Human Energy Harvesting – A Flexible Bionic Composite MTEG-TENG Based on the Shared Substrate with Characteristic Doping","https://onlinelibrary.wiley.com/doi/full/10.1002/adsu.202500116","10.1002/adsu.202500116","energy harvester","use of energy from water/fluid","","human skin","PDMS","","357.2 mV","0.28 mA","","","","","",""
"Arun Kumar Rachamalla","2025/08/03","Cellulose as a Template-Assisted Self-Assembly of Sugar Naphthalimide: Fabrication of Triboelectric Nanogenerator for Hydrogen Generation","https://onlinelibrary.wiley.com/doi/full/10.1002/adsu.202500401","10.1002/adsu.202500401","","","contact-separation","","FEP","","364 V","113 µA","19.4 W m−2","","740 µC m−2","","","5 Hz"
"Ying-Chih Lai","2019/01/04","Waterproof Fabric-Based Multifunctional Triboelectric Nanogenerator for Universally Harvesting Energy from Raindrops, Wind, and Human Motions and as Self-Powered Sensors","https://onlinelibrary.wiley.com/doi/full/10.1002/advs.201801883","10.1002/advs.201801883","energy harvester","use of energy from wind","contact-separation","","","","","","19.53 µW m−2","150 µA m−2","","","5×5 cm2","5 Hz"
"Aihua Chen","2020/06/02","Polymer Materials for High-Performance Triboelectric Nanogenerators","https://onlinelibrary.wiley.com/doi/full/10.1002/advs.202000186","10.1002/advs.202000186","energy harvester","use of energy from wind","contact-separation","silk","polyester fabric","Cu","2360 V","420 µA","193.6 µW cm−2","85 mA m−2","149 µC m−2","","60 cm2","1.3 Hz"
"Jingjing Fu","2020/11/17","Achieving Ultrahigh Output Energy Density of Triboelectric Nanogenerators in High-Pressure Gas Environment","https://onlinelibrary.wiley.com/doi/full/10.1002/advs.202001757","10.1002/advs.202001757","","","contact-separation","","","copper","","8 µA","664 W m−3","","","","","1 Hz"
"Xin Chen","2021/11/23","Boosting Output Performance of Triboelectric Nanogenerator via Mutual Coupling Effects Enabled Photon-Carriers and Plasmon","https://onlinelibrary.wiley.com/doi/full/10.1002/advs.202103957","10.1002/advs.202103957","sensor","","","","PDMS","","510 V","56 µA","12.5 µW mm−2","","","","",""
"Yong-Jin Park","2023/10/27","Multi-Layered Triboelectric Nanogenerators with Controllable Multiple Spikes for Low-Power Artificial Synaptic Devices","https://onlinelibrary.wiley.com/doi/full/10.1002/advs.202304598","10.1002/advs.202304598","energy harvester","","contact-separation","","PDMS","Al","6 V","","7.56 µW cm−2","","","","","2 Hz"
"Yi Li","2024/01/19","Rotary Wind-driven Triboelectric Nanogenerator for Self-Powered Airflow Temperature Monitoring of Industrial Equipment","https://onlinelibrary.wiley.com/doi/full/10.1002/advs.202307382","10.1002/advs.202307382","sensor","tactile/motion sensor","freestanding","fur","FEP","Cu","315.43 V","24.48 µA","","","","","","20 Hz"
"Wenjian Li","2024/07/01","Durable and High-Performance Triboelectric Nanogenerator Based on an Inorganic Triboelectric Pair of Diamond-Like-Carbon and Glass","https://onlinelibrary.wiley.com/doi/full/10.1002/advs.202309170","10.1002/advs.202309170","energy harvester","use of energy from motion","freestanding","","Teflon","carbon","","","","","","","","2 Hz"
"Along Gao","2024/04/01","A Self-Powered Biochemical Sensor for Intelligent Agriculture Enabled by Signal Enhanced Triboelectric Nanogenerator","https://onlinelibrary.wiley.com/doi/full/10.1002/advs.202309824","10.1002/advs.202309824","sensor","chemical sensor","","","PDMS","Cu","25.8 V","18.2 µA","13.78 W m−3","","","","",""
"Yihan Wang","2024/05/15","Scalable and Ultra-Sensitive Nanofibers Coaxial Yarn-Woven Triboelectric Nanogenerator Textile Sensors for Real-Time Gait Analysis","https://onlinelibrary.wiley.com/doi/full/10.1002/advs.202401436","10.1002/advs.202401436","sensor","tactile/motion sensor","","nylon","PVDF","","3.45 V","","","","","","","3 Hz"
"Weilong Liu","2024/04/11","Swing Origami-Structure-Based Triboelectric Nanogenerator for Harvesting Blue Energy toward Marine Environmental Applications","https://onlinelibrary.wiley.com/doi/full/10.1002/advs.202401578","10.1002/advs.202401578","energy harvester","use of energy from water/fluid","contact-separation","","FEP","copper","","138 µA","2.62 W m−2","","","","","1 Hz"
"Mengjiao Liu","2024/05/13","Earthworm-Inspired Ultra-Durable Sliding Triboelectric Nanogenerator with Bionic Self-Replenishing Lubricating Property for Wind Energy Harvesting and Self-Powered Intelligent Sports Monitoring","https://onlinelibrary.wiley.com/doi/full/10.1002/advs.202401636","10.1002/advs.202401636","energy harvester","use of energy from wind","freestanding","","","copper","90 V","","0.45 W m−2","","","","","3 Hz"
"Manikandan Venkatesan","2024/07/09","Rationally Improved Surface Charge Density of Triboelectric Nanogenerator with TiO2-MXene/Polystyrene Nanofiber Charge Trapping Layer for Biomechanical Sensing and Wound Healing Application","https://onlinelibrary.wiley.com/doi/full/10.1002/advs.202404019","10.1002/advs.202404019","sensor","tactile/motion sensor","contact-separation","","PVDF","Ag","2.5 V","","","","","","","4 Hz"
"Li Yang","2024/08/13","Stretchable Triboelectric Nanogenerator Based on Liquid Metal with Varying Phases","https://onlinelibrary.wiley.com/doi/full/10.1002/advs.202405792","10.1002/advs.202405792","sensor","tactile/motion sensor","single-electrode","nylon","silicone rubber","","3.75 V","","","","","","","3 Hz"
"Yi Guan","2025/06/24","Bistable Multi-Layer Triboelectric Nanogenerator for Harvesting Random and Ultra-Low-Frequency Vibration Energy with Increased Charge Transfer","https://onlinelibrary.wiley.com/doi/full/10.1002/advs.202505246","10.1002/advs.202505246","energy harvester","use of energy from motion","lateral sliding","nylon","","copper","730 V","","","","","","","0.6 Hz"
